,locality
1307,Kumaraswamy Layout
1308,Garudachara Palya
1309,Dodda Nekkundi
1310,Kaggadasapura
1311,HSR Layout
1312,Govindaraj Nagar
1313,Vignananagar
1314,Bellanduru
1315,Vishveshwara Puram
1316,Banashankari
1317,Shankar Matt Ward
1318,Mangammanapalya
1319,Kaveri Layout
1320,Suddagunte Palya Ward
1321,Mangammanapalya
1322,Hemmigepura
1323,Suddagunte Palya Ward
1324,Basavanagudi
1325,Sriramamandir Ward
1326,Kaveri Layout
1327,Rajarajeshwari Nagar
1328,Srinivasapura
1329,Panathur
1330,C V Raman Nagar
1331,Hemmigepura
1332,JP Nagar
1333,Puttenahalli
1334,Basaveshwaranagar
1335,Varthur
1336,Dodda Nekkundi
1337,Adugodi
1338,Cleveland Town
1339,Haralur
1340,Pantarapalya
1341,Katriguppe
1342,Yelchenahalli Ward
1343,Adugodi
1344,Sudhama Nagara
1345,Dodda Nekkundi
1346,Kaggadasapura
1347,BTM Layout
1348,Attiguppe
1349,HSR Layout
1350,Nagarabhavi
1351,Lakkasandra
1352,Kumaraswamy Layout
1353,Mangammanapalya
1354,Prakash Nagar Ward
1355,Marenahalli
1356,Banashankari
1357,Marathahalli
1358,Nagarabhavi
1359,Bommanahalli
1360,Hanumantha Nagar
1361,HSR Layout
1362,Vasanth Nagar
1363,Vignananagar
1364,Basavanagudi
1365,Banashankari
1366,Shakambari Nagar
1367,Thyagaraja Nagar
1368,Konena Agrahara Ward
1369,Rajarajeshwari Nagar
1370,Vrisabhavathi Nagar
1371,JP Nagar
1372,BTM Layout
1373,JP Nagar
1374,Hosa Tippasandra
1375,Lakkasandra
1376,Domlur
1377,HSR Layout
1378,Hosakerehalli
1379,Pattabhiram Nagar
1380,Marathahalli
1381,Gurappanapalya Ward
1382,Domlur
1383,Sunkenahalli Ward
1384,Vimanapura
1385,Hanumantha Nagar
1386,Prakash Nagar Ward
1387,Sarakki
1388,Kumaraswamy Layout
1389,Katriguppe
1390,Basaveshwaranagar
1391,Hosakerehalli
1392,HSR Layout
1393,Hagadur
1394,Vignananagar
1395,Basaveshwaranagar
1396,Rajajinagar
1397,Dattatreya Temple Ward
1398,Sarvagna Nagar
1399,HSR Layout
1400,Gali Anjenaya Temple ward
1401,Munekolala
1402,Others
1403,Banashankari
1404,Hombegowda Nagara
1405,Koramangala
1406,Kadugodi
1407,Munekolala
1408,Rajarajeshwari Nagar
1409,HSR Layout
1410,Girinagar
1411,Hoysala Nagara
1412,Sriramamandir Ward
1413,Hosakerehalli
1414,Jnana Bharathi
1415,Jnana Bharathi
1416,Others
1417,JP Nagar
1418,Shanthala Nagar
1419,Govindaraj Nagar
1420,Jnana Bharathi
1421,Rajajinagar
1422,BTM Layout
1423,Garudachara Palya
1424,BTM Layout
1425,Konena Agrahara Ward
1426,Konena Agrahara Ward
1427,Hanumantha Nagar
1428,Jayanagar
1429,HSR Layout
1430,Pattabhiram Nagar
1431,Konena Agrahara Ward
1432,Hemmigepura
1433,HSR Layout
1434,Rajarajeshwari Nagar
1435,Varthur
1436,Domlur
1437,HSR Layout
1438,Yediyur Ward
1439,Shakambari Nagar
1440,Others
1441,AGS Layout
1442,Jayanagar
1443,Madiwala
1444,Munekolala
1445,Govindaraj Nagar
1446,Jayanagar
1447,Bellanduru
1448,BTM Layout
1449,Hosahalli
1450,Lal Bahadur Shastri Nagar
1451,Marathahalli
1452,Hongasandra
1453,Hagadur
1454,Others
1455,Madiwala
1456,BTM Layout
1457,Jaraganahalli Ward
1458,Shakthi Ganapathi Nagar Ward
1459,Lal Bahadur Shastri Nagar
1460,Sarvagna Nagar
1461,Suddagunte Palya Ward
1462,Halasuru
1463,Others
1464,Jogupalya
1465,AGS Layout
1466,Dodda Nekkundi
1467,Dodda Nekkundi
1468,Puttenahalli
1469,Katriguppe
1470,Kadugodi
1471,Varthur
1472,Malleshpalya
1473,Ejipura
1474,Ejipura
1475,Hosahalli
1476,Yediyur Ward
1477,Ejipura
1478,Hampi Nagar
1479,Domlur
1480,Sriramamandir Ward
1481,Hoysala Nagara
1482,Ejipura
1483,Kaveri Layout
1484,Padmanabha Nagar
1485,Haralur
1486,Narayanapura
1487,Udaya Nagar
1488,Bellanduru
1489,Rajarajeshwari Nagar
1490,Mangammanapalya
1491,Lakkasandra
1492,Lakkasandra
1493,Maruthi Seva Nagar
1494,AGS Layout
1495,Srinagar
1496,Hosakerehalli
1497,Bhuvaneshwari Nagar
1498,HSR Layout
1499,Karisandra Ward
1500,HSR Layout
1501,Hoysala Nagara
1502,BTM Layout
1503,Attiguppe
1504,Nagarabhavi
1505,Malleswaram
1506,Dodda Nekkundi
1507,Shanthi Nagar
1508,Padmanabha Nagar
1509,Jnana Bharathi
1510,Haralur
1511,BTM Layout
1512,Others
1513,Madiwala
1514,Dodda Nekkundi
1515,Ejipura
1516,Adugodi
1517,Srinagar
1518,Rajarajeshwari Nagar
1519,Vijayanagar
1520,Banashankari
1521,Kumaraswamy Layout
1522,JP Nagar
1523,Suddagunte Palya Ward
1524,Bellanduru
1525,Kumaraswamy Layout
1526,Banashankari
1527,Jakkasandra
1528,Maruthi Mandir ward
1529,Jakkasandra
1530,Varthur
1531,Gayatri Nagar
1532,Suddagunte Palya Ward
1533,Ejipura
1534,Others
1535,JP Nagar
1536,Banashankari
1537,Konena Agrahara Ward
1538,Rajarajeshwari Nagar
1539,Vidyapeeta ward
1540,Koramangala
1541,Vignananagar
1542,JP Nagar
1543,Vannarpetai
1544,Agaram
1545,Domlur
1546,Varthur
1547,Hongasandra
1548,Dodda Nekkundi
1549,Madiwala
1550,Malagala
1551,Konena Agrahara Ward
1552,Basavanagudi
1553,Wilson Garden
1554,JP Nagar
1555,Srinagar
1556,Vidyapeeta ward
1557,Shakambari Nagar
1558,Ejipura
1559,HSR Layout
1560,Malagala
1561,Kumaraswamy Layout
1562,Hosakerehalli
1563,Yediyur Ward
1564,Yelchenahalli Ward
1565,Madiwala
1566,Vijayanagar
1567,Dodda Nekkundi
1568,Others
1569,HSR Layout
1570,AGS Layout
1571,Rajajinagar
1572,Kumaraswamy Layout
1573,Bhuvaneshwari Nagar
1574,Gurappanapalya Ward
1575,Domlur
1576,Dodda Nekkundi
1577,Hosakerehalli
1578,Jnana Bharathi
1579,Kadugodi
1580,Hagadur
1581,Munekolala
1582,Suddagunte Palya Ward
1583,Kadugodi
1584,Konena Agrahara Ward
1585,Banashankari
1586,Kaggadasapura
1587,Bommanahalli
1588,HSR Layout
1589,Rajarajeshwari Nagar
1590,Bhuvaneshwari Nagar
1591,Maruthi Seva Nagar
1592,Domlur
1593,Koramangala
1594,Lal Bahadur Shastri Nagar
1595,Munekolala
1596,Lakkasandra
1597,Jnana Bharathi
1598,Maruthi Mandir ward
1599,Hagadur
1600,JP Nagar
1601,Pattabhiram Nagar
1602,Govindaraj Nagar
1603,Nagarabhavi
1604,Koramangala
1605,Hampi Nagar
1606,BTM Layout
1607,Jeevanbhima Nagar
1608,Jakkasandra
1609,Chamarajpet
1610,Suddagunte Palya Ward
1611,Madiwala
1612,Katriguppe
1613,HAL Airport Ward
1614,Others
1615,Udaya Nagar
1616,HSR Layout
1617,AGS Layout
1618,Koramangala
1619,Others
1620,Jogupalya
1621,Banashankari
1622,Koramangala
1623,Thippasandra
1624,BTM Layout
1625,Vignananagar
1626,Maruthi Seva Nagar
1627,Sarakki
1628,Bhoganahalli
1629,BTM Layout
1630,Sriramamandir Ward
1631,Others
1632,Pattanagere
1633,Others
1634,Vidyapeeta ward
1635,Bellanduru
1636,Kumaraswamy Layout
1637,Domlur
1638,Banashankari
1639,Hongasandra
1640,Lakkasandra
1641,Banashankari
1642,Others
1643,Pattabhiram Nagar
1644,JP Nagar
1645,Yelchenahalli Ward
1646,HSR Layout
1647,Basavanagudi
1648,Marathahalli
1649,Kodihalli
1650,Sunkenahalli Ward
1651,Hagadur
1652,Dodda Nekkundi
1653,Shivanagara
1654,Halasuru
1655,Madiwala
1656,Jayanagar
1657,Shivanagara
1658,Vignananagar
1659,Rajajinagar
1660,Hosa Tippasandra
1661,Suddagunte Palya Ward
1662,Ejipura
1663,Kaggadasapura
1664,Rajarajeshwari Nagar
1665,C V Raman Nagar
1666,Banashankari
1667,Padmanabha Nagar
1668,Vignananagar
1669,Domlur
1670,Sunkenahalli Ward
1671,Munekolala
1672,Sarvagna Nagar
1673,Rajajinagar
1674,Bommanahalli
1675,Basavanagudi
1676,Suddagunte Palya Ward
1677,Hoysala Nagara
1678,ISRO Layout
1679,Koramangala
1680,Rajarajeshwari Nagar
1681,Hagadur
1682,Rajajinagar
1683,Varthur
1684,Bhuvaneshwari Nagar
1685,Sarakki
1686,JP Nagar
1687,Others
1688,Karisandra Ward
1689,Kadugodi
1690,Koramangala
1691,Kaadubeesanahalli
1692,Padmanabha Nagar
1693,Banashankari
1694,BTM Layout
1695,Banashankari
1696,Hemmigepura
1697,Others
1698,Marathahalli
1699,Vasanth Nagar
1700,Domlur
1701,Shivanagara
1702,BTM Layout
1703,Hosakerehalli
1704,Haralur
1705,VV Puram
1706,Udaya Nagar
1707,Hagadur
1708,Jnana Bharathi
1709,Jogupalya
1710,Thippasandra
1711,Bilekahalli
1712,Lakkasandra
1713,Narayanapura
1714,Jnana Bharathi
1715,Karisandra Ward
1716,Banashankari
1717,Benniganahalli Ward
1718,HSR Layout
1719,ISRO Layout
1720,Nallurahalli
1721,Vijayanagar
1722,Mangammanapalya
1723,Kodihalli
1724,Agaram
1725,Jogupalya
1726,Puttenahalli
1727,Ejipura
1728,Nagarabhavi
1729,Lakkasandra
1730,Munekolala
1731,Hagadur
1732,BTM Layout
1733,Panathur
1734,Lal Bahadur Shastri Nagar
1735,Jayanagar
1736,Lal Bahadur Shastri Nagar
1737,Nayandahalli Ward
1738,Gurappanapalya Ward
1739,Bommanahalli
1740,Bellanduru
1741,Banashankari
1742,Sarakki
1743,Hanumantha Nagar
1744,Rajajinagar
1745,Dodda Nekkundi
1746,VV Puram
1747,Jakkasandra
1748,Madiwala
1749,Hombegowda Nagara
1750,Thubarahalli
1751,Kottigepalya
1752,Jaraganahalli Ward
1753,Ejipura
1754,Banashankari
1755,Yelchenahalli Ward
1756,Malleshpalya
1757,Others
1758,Lakkasandra
1759,Banashankari
1760,Dattatreya Temple Ward
1761,Suddagunte Palya Ward
1762,Jayanagar
1763,Banashankari
1764,Subramanyapura
1765,Maruthi Seva Nagar
1766,Others
1767,Bommanahalli
1768,Shanthi Nagar
1769,Hampi Nagar
1770,Chikkalasandra
1771,Suddagunte Palya Ward
1772,HSR Layout
1773,Girinagar
1774,Koramangala
1775,Madiwala
1776,Jnana Bharathi
1777,Jogupalya
1778,Vignananagar
1779,Katriguppe
1780,Others
1781,Rajarajeshwari Nagar
1782,Dodda Nekkundi
1783,Banashankari
1784,Shakthi Ganapathi Nagar Ward
1785,Madiwala
1786,Shakambari Nagar
1787,Kaggadasapura
1788,HAL Airport Ward
1789,Kottigepalya
1790,AGS Layout
1791,Pantarapalya
1792,Suddagunte Palya Ward
1793,Bommanahalli
1794,Madiwala
1795,HSR Layout
1796,BTM Layout
1797,Hoysala Nagara
1798,Varthur
1799,Gali Anjenaya Temple ward
1800,Maruthi Mandir ward
1801,Hoodi
1802,HAL Airport Ward
1803,Avalahalli
1804,Lal Bahadur Shastri Nagar
1805,Koramangala
1806,Rajajinagar
1807,Jayanagar
1808,Srinagar
1809,Suddagunte Palya Ward
1810,Hosahalli
1811,ISRO Layout
1812,Suddagunte Palya Ward
1813,Adugodi
1814,Bommanahalli
1815,Avalahalli
1816,Dodda Nekkundi
1817,Chamarajpet
1818,Hanumantha Nagar
1819,Lakkasandra
1820,HSR Layout
1821,Shanthi Nagar
1822,Basavanagudi
1823,HSR Layout
1824,Yediyur Ward
1825,Bhoganahalli
1826,Sudhama Nagara
1827,Mangammanapalya
1828,Katriguppe
1829,Hosakerehalli
1830,Gayatri Nagar
1831,Hagadur
1832,Bommanahalli
1833,Others
1834,Maruthi Mandir ward
1835,Bilekahalli
1836,Varthur
1837,BTM Layout
1838,Jeevanbhima Nagar
1839,Kamakshi Palya
1840,Dodda Nekkundi
1841,Jnana Bharathi
1842,Ambalipura
1843,Vijayanagar
1844,Others
1845,Govindaraj Nagar
1846,Sunkenahalli Ward
1847,C V Raman Nagar
1848,Benniganahalli Ward
1849,Kaggadasapura
1850,Suddagunte Palya Ward
1851,Kadugodi
1852,Sarvagna Nagar
1853,Adugodi
1854,Maruthi Mandir ward
1855,Govindaraj Nagar
1856,Narayanapura
1857,Katriguppe
1858,Sarvagna Nagar
1859,Hanumantha Nagar
1860,Wilson Garden
1861,Attiguppe
1862,Varthur
1863,Hoodi
1864,JP Nagar
1865,Munekolala
1866,Jaraganahalli Ward
1867,Others
1868,Domlur
1869,Marathahalli
1870,Bellanduru
1871,Haralur
1872,Jayanagar
1873,Ejipura
1874,BTM Layout
1875,Jeevanbhima Nagar
1876,Bellanduru
1877,Banashankari
1878,Shankar Matt Ward
1879,Hoysala Nagara
1880,Katriguppe
1881,Hongasandra
1882,Varthur
1883,Hagadur
1884,Shanthala Nagar
1885,Basaveshwaranagar
1886,Rajajinagar
1887,Sampangiram Nagar Ward
1888,Others
1889,Pattanagere
1890,HSR Layout
1891,BTM Layout
1892,HAL Airport Ward
1893,Narayanapura
1894,Lal Bahadur Shastri Nagar
1895,Lakkasandra
1896,AECS Layout
1897,GM Palya
1898,Jogupalya
1899,Basavanagudi
1900,Madiwala
1901,Karisandra Ward
1902,Attiguppe
1903,Kamakshi Palya
1904,Sunkenahalli Ward
1905,Munekolala
1906,Gali Anjenaya Temple ward
1907,Mangammanapalya
1908,Rajajinagar
1909,HSR Layout
1910,Konena Agrahara Ward
1911,Jogupalya
1912,Shakthi Ganapathi Nagar Ward
1913,Kadugodi
1914,Others
1915,Ejipura
1916,Kaggadasapura
1917,Dodda Nekkundi
1918,JP Nagar
1919,Maruthi Mandir ward
1920,HSR Layout
1921,Agaram
1922,Narayanapura
1923,Shakambari Nagar
1924,Basavanagudi
1925,HAL Airport Ward
1926,Basaveshwaranagar
1927,Koramangala
1928,Marathahalli
1929,Hemmigepura
1930,Jayanagar
1931,Haralur
1932,Yemaluru
1933,Lal Bahadur Shastri Nagar
1934,Girinagar
1935,HSR Layout
1936,Dodda Nekkundi
1937,Malleshpalya
1938,Cox Town
1939,Vignananagar
1940,Sampangiram Nagar Ward
1941,Konena Agrahara Ward
1942,Kadugodi
1943,Panathur
1944,HSR Layout
1945,Haralur
1946,Rajajinagar
1947,Yemaluru
1948,Shankar Matt Ward
1949,Rajarajeshwari Nagar
1950,Ejipura
1951,Kaggadasapura
1952,Jakkasandra
1953,Hagadur
1954,Hoodi
1955,Koramangala
1956,Girinagar
1957,Adugodi
1958,Haralur
1959,Kodihalli
1960,Narayanapura
1961,Kadugodi
1962,Vidyapeeta ward
1963,BTM Layout
1964,Vijayanagar
1965,Thippasandra
1966,Bhoganahalli
1967,Shivanagara
1968,Adugodi
1969,Nagarabhavi
1970,Koramangala
1971,Vidyapeeta ward
1972,Kamakshi Palya
1973,Jeevanbhima Nagar
1974,Wilson Garden
1975,Dodda Nekkundi
1976,Kaggadasapura
1977,Yelchenahalli Ward
1978,Katriguppe
1979,Agaram
1980,Koramangala
1981,Dattatreya Temple Ward
1982,Varthur
1983,HSR Layout
1984,Jakkasandra
1985,Lal Bahadur Shastri Nagar
1986,Ejipura
1987,Thubarahalli
1988,Padmanabha Nagar
1989,Rajarajeshwari Nagar
1990,Jakkasandra
1991,Bilekahalli
1992,Maruthi Mandir ward
1993,Koramangala
1994,Jnana Bharathi
1995,Halasuru
1996,Bommanahalli
1997,Prakash Nagar Ward
1998,Bhuvaneshwari Nagar
1999,Katriguppe
2000,Benniganahalli Ward
2001,AGS Layout
2002,Hagadur
2003,Rajarajeshwari Nagar
2004,Marenahalli
2005,Bellanduru
2006,Jogupalya
2007,Bellanduru
2008,Hongasandra
2009,Hoysala Nagara
2010,Wilson Garden
2011,HSR Layout
2012,Shakthi Ganapathi Nagar Ward
2013,Jeevanbhima Nagar
2014,Hoysala Nagara
2015,JP Nagar
2016,Katriguppe
2017,Shakthi Ganapathi Nagar Ward
2018,Others
2019,Jogupalya
2020,Vijayanagar
2021,BTM Layout
2022,Bilekahalli
2023,Nagarabhavi
2024,Jayanagar
2025,Banashankari
2026,Gurappanapalya Ward
2027,BTM Layout
2028,Basavanagudi
2029,Srinagar
2030,Lakkasandra
2031,Others
2032,HSR Layout
2033,BTM Layout
2034,Sunkenahalli Ward
2035,Koramangala
2036,Hagadur
2037,Jakkasandra
2038,Bellanduru
2039,Kadugodi
2040,Basaveshwaranagar
2041,Jayanagar
2042,Sampangiram Nagar Ward
2043,HSR Layout
2044,Jnana Bharathi
2045,JP Nagar
2046,Shanthala Nagar
2047,Yediyur Ward
2048,Sampangiram Nagar Ward
2049,Koramangala
2050,JP Nagar
2051,Konena Agrahara Ward
2052,Basavanagudi
2053,Hagadur
2054,Kadugodi
2055,Rajarajeshwari Nagar
2056,Cox Town
2057,BTM Layout
2058,HSR Layout
2059,Banashankari
2060,Bhuvaneshwari Nagar
2061,JP Nagar
2062,Puttenahalli
2063,HSR Layout
2064,HSR Layout
2065,Shanthala Nagar
2066,Hosahalli
2067,C V Raman Nagar
2068,Varthur
2069,Hanumantha Nagar
2070,Hanumantha Nagar
2071,Malleshpalya
2072,Banashankari
2073,Kadugodi
2074,Banashankari
2075,Rajajinagar
2076,Rajajinagar
2077,Marenahalli
2078,Hosakerehalli
2079,Dodda Nekkundi
2080,Varthur
2081,Ramagondanahalli
2082,Byrasandra Ward
2083,Hoysala Nagara
2084,Adugodi
2085,Vimanapura
2086,Shakambari Nagar
2087,Garudachara Palya
2088,Kottigepalya
2089,Narayanapura
2090,Ittamadu
2091,BTM Layout
2092,C V Raman Nagar
2093,Halasuru
2094,Hemmigepura
2095,Srinagar
2096,Others
2097,Sarvagna Nagar
2098,Varthur
2099,Bhuvaneshwari Nagar
2100,Dodda Nekkundi
2101,BTM Layout
2102,Nayandahalli Ward
2103,Girinagar
2104,Dodda Nekkundi
2105,Koramangala
2106,Vignananagar
2107,Girinagar
2108,Vignananagar
2109,BTM Layout
2110,Vignananagar
2111,Adugodi
2112,Vignananagar
2113,Bellanduru
2114,Haralur
2115,Jayanagar
2116,Hongasandra
2117,Katriguppe
2118,Basavanagudi
2119,Gurappanapalya Ward
2120,Koramangala
2121,Munekolala
2122,BTM Layout
2123,Vignananagar
2124,Hosa Tippasandra
2125,JP Nagar
2126,Cleveland Town
2127,Koramangala
2128,Hanumantha Nagar
2129,Bilekahalli
2130,AECS Layout
2131,Dodda Nekkundi
2132,Katriguppe
2133,Deepanjali Nagar
2134,Hosakerehalli
2135,ISRO Layout
2136,Others
2137,Kaveri Layout
2138,Shakambari Nagar
2139,Jaraganahalli Ward
2140,Domlur
2141,Vijayanagar
2142,JP Nagar
2143,Koramangala
2144,Hongasandra
2145,Kaggadasapura
2146,BTM Layout
2147,Kumaraswamy Layout
2148,Hoysala Nagara
2149,HSR Layout
2150,HSR Layout
2151,Rajarajeshwari Nagar
2152,Hosa Tippasandra
2153,Others
2154,Hagadur
2155,JP Nagar
2156,Jayanagar
2157,Govindaraj Nagar
2158,C V Raman Nagar
2159,Narayanapura
2160,Nagarabhavi
2161,Yelchenahalli Ward
2162,Others
2163,Jnana Bharathi
2164,Attiguppe
2165,Hosakerehalli
2166,Varthur
2167,Ejipura
2168,Madiwala
2169,GM Palya
2170,Hosakerehalli
2171,Bellanduru
2172,Thippasandra
2173,Banashankari
2174,Yediyur Ward
2175,Rajarajeshwari Nagar
2176,Puttenahalli
2177,Gurappanapalya Ward
2178,Koramangala
2179,BTM Layout
2180,HSR Layout
2181,Nayandahalli Ward
2182,Koramangala
2183,Shanthi Nagar
2184,Vignananagar
2185,Hagadur
2186,Hosakerehalli
2187,Adugodi
2188,Rajarajeshwari Nagar
2189,Bhuvaneshwari Nagar
2190,Ejipura
2191,JP Nagar
2192,Varthur
2193,JP Nagar
2194,Jaraganahalli Ward
2195,Ambalipura
2196,Halasuru
2197,Dodda Nekkundi
2198,Hombegowda Nagara
2199,Jogupalya
2200,Adugodi
2201,Mangammanapalya
2202,JP Nagar
2203,Vasanthpura Ward
2204,Others
2205,Konena Agrahara Ward
2206,Katriguppe
2207,Maruthi Mandir ward
2208,Lakkasandra
2209,Ejipura
2210,Others
2211,Pantarapalya
2212,BTM Layout
2213,Munekolala
2214,JP Nagar
2215,Jnana Bharathi
2216,Others
2217,Konena Agrahara Ward
2218,Srinagar
2219,Vannarpetai
2220,Malleswaram
2221,Others
2222,Domlur
2223,Others
2224,Others
2225,Mangammanapalya
2226,Dodda Nekkundi
2227,Yelchenahalli Ward
2228,Rajajinagar
2229,Vidyapeeta ward
2230,Hemmigepura
2231,Lakkasandra
2232,Agaram
2233,Kumaraswamy Layout
2234,Hagadur
2235,Kumaraswamy Layout
2236,Varthur
2237,Basavanagudi
2238,Srinagar
2239,Basavanagudi
2240,Varthur
2241,Varthur
2242,Maruthi Mandir ward
2243,Marenahalli
2244,Kaggadasapura
2245,Narayanapura
2246,Bellanduru
2247,Munekolala
2248,Basavanagudi
2249,Hagadur
2250,Bellanduru
2251,Nallurahalli
2252,HAL Airport Ward
2253,Hanumantha Nagar
2254,Kadugodi
2255,Munekolala
2256,Halasuru
2257,Pattanagere
2258,Thubarahalli
2259,Hagadur
2260,Bellanduru
2261,Suddagunte Palya Ward
2262,Puttenahalli
2263,Kadugodi
2264,Dodda Nekkundi
2265,Shanthi Nagar
2266,Sarakki
2267,HAL Airport Ward
2268,Hosakerehalli
2269,Hagadur
2270,Kadugodi
2271,Udaya Nagar
2272,Bommanahalli
2273,Hagadur
2274,Hoodi
2275,Lakkasandra
2276,Hoysala Nagara
2277,Madiwala
2278,Dodda Nekkundi
2279,Subramanyapura
2280,Hoodi
2281,C V Raman Nagar
2282,Dodda Nekkundi
2283,Jnana Bharathi
2284,Thubarahalli
2285,Dodda Nekkundi
2286,Munekolala
2287,Bellanduru
2288,Kadugodi
2289,Hoodi
2290,Vignananagar
2291,Rajarajeshwari Nagar
2292,Rajarajeshwari Nagar
2293,Kadugodi
2294,Konena Agrahara Ward
2295,Kodihalli
2296,Hemmigepura
2297,Vignananagar
2298,Dodda Nekkundi
2299,Konena Agrahara Ward
2300,Dodda Nekkundi
2301,Rajarajeshwari Nagar
2302,Bilekahalli
2303,Dodda Nekkundi
2304,HSR Layout
2305,Hagadur
2306,Hoodi
2307,Hoodi
2308,Puttenahalli
2309,Varthur
2310,Katriguppe
2311,Gandhinagar
2312,Bellanduru
2313,Varthur
2314,Bellanduru
2315,Kadugodi
2316,Nallurahalli
2317,Katriguppe
2318,Hagadur
2319,Jayanagar
2320,Shankar Matt Ward
2321,Munekolala
2322,Suddagunte Palya Ward
2323,BTM Layout
2324,Hampi Nagar
2325,Hagadur
2326,Bilekahalli
2327,Varthur
2328,Thubarahalli
2329,HSR Layout
2330,Cox Town
2331,Thubarahalli
2332,Marathahalli
2333,Garudachara Palya
2334,Munekolala
2335,Varthur
2336,Bellanduru
2337,Hagadur
2338,Bellanduru
2339,Jaraganahalli Ward
2340,Hagadur
2341,Bilekahalli
2342,Munekolala
2343,Varthur
2344,Agaram
2345,Hoysala Nagara
2346,Gurappanapalya Ward
2347,Varthur
2348,Devasandra
2349,Hosa Tippasandra
2350,Others
2351,Puttenahalli
2352,Malleshpalya
2353,Malleshpalya
2354,Maruthi Seva Nagar
2355,ISRO Layout
2356,Brookefields
2357,Kumaraswamy Layout
2358,Varthur
2359,Dodda Nekkundi
2360,Bommanahalli
2361,Hoodi
2362,Bellanduru
2363,Nallurahalli
2364,Bellanduru
2365,C V Raman Nagar
2366,Bellanduru
2367,Bellanduru
2368,Dodda Nekkundi
2369,Varthur
2370,Munekolala
2371,Subramanyapura
2372,Hagadur
2373,Vasanth Nagar
2374,Kadugodi
2375,Dodda Nekkundi
2376,Vignananagar
2377,Hosa Tippasandra
2378,Puttenahalli
2379,Kadugodi
2380,Kadugodi
2381,Hagadur
2382,Ambalipura
2383,Nallurahalli
2384,Hagadur
2385,Devarabeesanahalli
2386,Bellanduru
2387,Panathur
2388,HSR Layout
2389,Kadugodi
2390,Hoodi
2391,Devarabeesanahalli
2392,Basavanagudi
2393,HAL Airport Ward
2394,Haralur
2395,BTM Layout
2396,Kumaraswamy Layout
2397,Rajarajeshwari Nagar
2398,Hagadur
2399,Koramangala
2400,Rajarajeshwari Nagar
2401,Devarabeesanahalli
2402,Rajarajeshwari Nagar
2403,Bellanduru
2404,Haralur
2405,Puttenahalli
2406,HSR Layout
2407,Nallurahalli
2408,Marenahalli
2409,AGS Layout
2410,Ejipura
2411,Dodda Nekkundi
2412,Hongasandra
2413,Devarabeesanahalli
2414,Suddagunte Palya Ward
2415,Hoodi
2416,AGS Layout
2417,Pattanduru Agrahara
2418,Hoodi
2419,Bommanahalli
2420,Kadugodi
2421,Srinivasapura
2422,BCC Layout
2423,Varthur
2424,ISRO Layout
2425,HSR Layout
2426,Hagadur
2427,Bhoganahalli
2428,C V Raman Nagar
2429,Dodda Nekkundi
2430,C V Raman Nagar
2431,Bellanduru
2432,Yemaluru
2433,Ejipura
2434,C V Raman Nagar
2435,Pattanduru Agrahara
2436,Rajarajeshwari Nagar
2437,Jnana Bharathi
2438,Varthur
2439,Rajarajeshwari Nagar
2440,Varthur
2441,Hoodi
2442,Malleshpalya
2443,Halasuru
2444,Konena Agrahara Ward
2445,Nallurahalli
2446,Mangammanapalya
2447,Sarvagna Nagar
2448,Dodda Nekkundi
2449,Devarabeesanahalli
2450,Madiwala
2451,AGS Layout
2452,Jayanagar
2453,Hagadur
2454,Hagadur
2455,Subramanyapura
2456,Banashankari
2457,Yediyur Ward
2458,Varthur
2459,Haralur
2460,AGS Layout
2461,Udaya Nagar
2462,Dodda Nekkundi
2463,Hoodi
2464,Dodda Nekkundi
2465,Kadugodi
2466,Domlur
2467,Sunkenahalli Ward
2468,Jogupalya
2469,Pantarapalya
2470,Sunkenahalli Ward
2471,Bellanduru
2472,Malleshpalya
2473,Domlur
2474,Hagadur
2475,Panathur
2476,Kadugodi
2477,Bellanduru
2478,Bellanduru
2479,Others
2480,Marathahalli
2481,Hagadur
2482,Rajajinagar
2483,Pattanagere
2484,Kadugodi
2485,Nallurahalli
2486,Kundalahalli
2487,HSR Layout
2488,Hoysala Nagara
2489,Vannarpetai
2490,Sitaramapalya
2491,Dodda Nekkundi
2492,Thubarahalli
2493,Kaggadasapura
2494,Govindaraj Nagar
2495,Chamarajpet
2496,Kadugodi
2497,GM Palya
2498,Dodda Nekkundi
2499,Kadugodi
2500,Hosa Tippasandra
2501,Varthur
2502,Munekolala
2503,Bellanduru
2504,Bilekahalli
2505,Frazer Town
2506,Varthur
2507,Ejipura
2508,BTM Layout
2509,Cox Town
2510,Hagadur
2511,Devarabeesanahalli
2512,Jogupalya
2513,C V Raman Nagar
2514,AECS Layout
2515,Munekolala
2516,Hagadur
2517,Madhuranagara
2518,C V Raman Nagar
2519,Pattanduru Agrahara
2520,Bellanduru
2521,Others
2522,Nallurahalli
2523,Cox Town
2524,Varthur
2525,Varthur
2526,GM Palya
2527,Dodda Nekkundi
2528,Others
2529,Kadugodi
2530,Munekolala
2531,Ambalipura
2532,Bellanduru
2533,VV Puram
2534,Hagadur
2535,C V Raman Nagar
2536,Hagadur
2537,C V Raman Nagar
2538,GM Palya
2539,Varthur
2540,HSR Layout
2541,Varthur
2542,Koramangala
2543,Mangammanapalya
2544,Brookefields
2545,Jnana Bharathi
2546,Varthur
2547,Hongasandra
2548,Subramanyapura
2549,Varthur
2550,Dodda Nekkundi
2551,Chamarajpet
2552,Vasanthpura Ward
