,locality
302,Govindaraj Nagar
303,Ittamadu
304,Haralur
305,Vignananagar
306,Shankar Matt Ward
307,Attiguppe
308,Varthur
309,Bommanahalli
310,Rajarajeshwari Nagar
311,HSR Layout
312,Others
313,Basavanagudi
314,Jnana Bharathi
315,Maruthi Seva Nagar
316,ISRO Layout
317,Suddagunte Palya Ward
318,Girinagar
319,Cox Town
320,Basavanagudi
321,Bommanahalli
322,Chamarajpet
323,BTM Layout
324,Banashankari
325,Mangammanapalya
326,Kadugodi
327,Deepanjali Nagar
328,Basavanagudi
329,Ejipura
330,Koramangala
331,AGS Layout
332,Udaya Nagar
333,Others
334,HSR Layout
335,BTM Layout
336,Malagala
337,Bilekahalli
338,Attiguppe
339,Others
340,Katriguppe
341,Adugodi
342,Koramangala
343,Shakthi Ganapathi Nagar Ward
344,Hemmigepura
345,Attiguppe
346,Kaveri Layout
347,Girinagar
348,Yelchenahalli Ward
349,Others
350,Nagarabhavi
351,Rajarajeshwari Nagar
352,BTM Layout
353,Panathur
354,BTM Layout
355,Vignananagar
356,Koramangala
357,Lal Bahadur Shastri Nagar
358,Shakambari Nagar
359,Banashankari
360,HSR Layout
361,BTM Layout
362,Avalahalli
363,Madiwala
364,Jayanagar
365,Domlur
366,HAL Airport Ward
367,Shakambari Nagar
368,Banashankari
369,Others
370,Jaraganahalli Ward
371,Varthur
372,Hoysala Nagara
373,Banashankari
374,Adugodi
375,Chikkalasandra
376,Kaadubeesanahalli
377,Vignananagar
378,Vijayanagar
379,Jeevanbhima Nagar
380,Kaveri Layout
381,Sunkenahalli Ward
382,Suddagunte Palya Ward
383,Hemmigepura
384,AGS Layout
385,Gurappanapalya Ward
386,Ejipura
387,Devarabeesanahalli
388,Koramangala
389,Maruthi Mandir ward
390,Others
391,AGS Layout
392,Cox Town
393,Banashankari
394,BTM Layout
395,Padmanabha Nagar
396,HSR Layout
397,Malagala
398,Jakkasandra
399,Narayanapura
400,Shanthala Nagar
401,Others
402,BCC Layout
403,Udaya Nagar
404,Vijayanagar
405,Domlur
406,Chamarajpet
407,Dodda Nekkundi
408,Devasandra
409,Nagarabhavi
410,Sampangiram Nagar Ward
411,Varthur
412,Hongasandra
413,HSR Layout
414,Domlur
415,Jakkasandra
416,Srinagar
417,Bilekahalli
418,Gurappanapalya Ward
419,Hoodi
420,Ramagondanahalli
421,Others
422,Narayanapura
423,Jakkasandra
424,Mangammanapalya
425,Sudhama Nagara
426,Nagarabhavi
427,Madiwala
428,Jayanagar
429,Marenahalli
430,Madiwala
431,Munekolala
432,Karisandra Ward
433,Sarvagna Nagar
434,Jayanagar
435,Banashankari
436,Banashankari
437,Shakthi Ganapathi Nagar Ward
438,Jayanagar
439,Kumaraswamy Layout
440,AGS Layout
441,Attiguppe
442,JP Nagar
443,Kaggadasapura
444,Ejipura
445,Nagarabhavi
446,Dodda Nekkundi
447,Dodda Nekkundi
448,Lal Bahadur Shastri Nagar
449,Rajajinagar
450,Kadugodi
451,Munekolala
452,Hombegowda Nagara
453,Jogupalya
454,Rajarajeshwari Nagar
455,Others
456,Bellanduru
457,Mahadevapura
458,HAL Airport Ward
459,Hagadur
460,Koramangala
461,Hagadur
462,Marenahalli
463,Jakkasandra
464,Vrisabhavathi Nagar
465,Garudachara Palya
466,Bhuvaneshwari Nagar
467,Maruthi Mandir ward
468,HSR Layout
469,Ejipura
470,BTM Layout
471,Lal Bahadur Shastri Nagar
472,Nayandahalli Ward
473,AGS Layout
474,Mangammanapalya
475,Madiwala
476,BTM Layout
477,Frazer Town
478,Basavanagudi
479,Nagarabhavi
480,Koramangala
481,BTM Layout
482,AECS Layout
483,Haralur
484,HSR Layout
485,BTM Layout
486,Domlur
487,HSR Layout
488,Bhuvaneshwari Nagar
489,HSR Layout
490,JP Nagar
491,Udaya Nagar
492,Jayanagar
493,Kadugodi
494,Pattabhiram Nagar
495,Jayanagar
496,Dodda Nekkundi
497,Bhuvaneshwari Nagar
498,Srinagar
499,Bellanduru
500,Others
501,Jaraganahalli Ward
502,Pattabhiram Nagar
503,Madiwala
504,Sriramamandir Ward
505,Sunkenahalli Ward
506,Banashankari
507,Halasuru
508,Hagadur
509,BTM Layout
510,Girinagar
511,HAL Airport Ward
512,Konena Agrahara Ward
513,Banashankari
514,Udaya Nagar
515,Bommanahalli
516,Munekolala
517,BCC Layout
518,Ambalipura
519,Jakkasandra
520,Banashankari
521,Dodda Nekkundi
522,Maruthi Mandir ward
523,Bommanahalli
524,Marathahalli
525,BTM Layout
526,Hemmigepura
527,Jaraganahalli Ward
528,Kamakshi Palya
529,JP Nagar
530,Hagadur
531,Lakkasandra
532,JP Nagar
533,Hagadur
534,Others
535,Hosakerehalli
536,BTM Layout
537,Jayanagar
538,Basaveshwaranagar
539,Yelchenahalli Ward
540,Yelchenahalli Ward
541,Jnana Bharathi
542,BTM Layout
543,Others
544,Others
545,Shakambari Nagar
546,Banashankari
547,Hosakerehalli
548,Kaveri Layout
549,Kadugodi
550,Sampangiram Nagar Ward
551,Hosahalli
552,Jaraganahalli Ward
553,Ejipura
554,Yelchenahalli Ward
555,Jakkasandra
556,Avalahalli
557,Others
558,Vidyapeeta ward
559,Kundalahalli
560,Thyagaraja Nagar
561,Girinagar
562,Kumaraswamy Layout
563,Rajarajeshwari Nagar
564,Basavanagudi
565,Hanumantha Nagar
566,Kadugodi
567,Agaram
568,Lakkasandra
569,JP Nagar
570,AGS Layout
571,Mangammanapalya
572,Srinagar
573,JP Nagar
574,Rajajinagar
575,Varthur
576,Sriramamandir Ward
577,Prakash Nagar Ward
578,Suddagunte Palya Ward
579,Govindaraj Nagar
580,Udaya Nagar
581,Others
582,Bellanduru
583,Bellanduru
584,Hosakerehalli
585,HSR Layout
586,Basavanagudi
587,Jnana Bharathi
588,Vignananagar
589,Bhuvaneshwari Nagar
590,Yelchenahalli Ward
591,Others
592,BTM Layout
593,Ejipura
594,Marenahalli
595,Ejipura
596,Basaveshwaranagar
597,Govindaraj Nagar
598,BTM Layout
599,Madiwala
600,Rajarajeshwari Nagar
601,BTM Layout
602,Marathahalli
603,Kadugodi
604,Gurappanapalya Ward
605,Narayanapura
606,Rajajinagar
607,Jayanagar
608,C V Raman Nagar
609,Suddagunte Palya Ward
610,Konena Agrahara Ward
611,Suddagunte Palya Ward
612,Marenahalli
613,Vignananagar
614,Byrasandra Ward
615,Bilekahalli
616,Marathahalli
617,Jogupalya
618,Munekolala
